26 27 38 39 42 43 46 47
26 38 39 42 43 46 47 49
13 26 38 39 42 43 46 47
26 38 39 42 43 46 47 61
1 26 38 39 42 43 46 47
26 38 39 42 43 46 47 73
14 38 39 42 43 46 47 49
14 15 38 39 42 43 46 47
14 38 39 42 43 46 47 61
1 14 38 39 42 43 46 47
14 38 39 42 43 46 47 73
2 25 38 39 42 43 46 47
2 38 39 42 43 46 47 49
2 38 39 42 43 46 47 61
2 3 38 39 42 43 46 47
2 38 39 42 43 46 47 73
25 38 39 42 43 46 48 49
13 25 38 39 42 43 46 48
25 38 39 42 43 46 48 61
1 25 38 39 42 43 46 48
25 28 38 39 42 43 46 47
25 28 29 38 39 42 43 46
25 28 38 39 42 43 46 49
13 25 28 38 39 42 43 46
25 28 38 39 42 43 46 61
1 25 28 38 39 42 43 46
25 28 38 39 42 43 46 73
13 25 38 39 42 43 46 50
1 25 38 39 42 43 46 50
25 38 39 42 43 46 50 73
14 25 38 39 42 43 46 49
1 14 25 38 39 42 43 46
25 27 38 39 42 43 46 62
13 25 38 39 42 43 46 62
25 38 39 42 43 46 62 63
1 25 38 39 42 43 46 62
25 38 39 42 43 46 62 73
2 25 38 39 42 43 46 49
2 13 25 38 39 42 43 46
2 3 25 38 39 42 43 46
2 25 38 39 42 43 46 73
25 27 38 39 42 43 46 74
13 25 38 39 42 43 46 74
1 25 38 39 42 43 46 74
25 38 39 42 43 46 74 75
1 13 38 39 42 43 46 48
13 26 27 38 39 42 43 46
1 13 26 38 39 42 43 46
13 26 38 39 42 43 46 73
13 38 39 42 43 46 50 51
13 15 38 39 42 43 46 50
1 13 38 39 42 43 46 50
13 38 39 42 43 46 50 73
13 16 38 39 42 43 46 47
13 16 25 38 39 42 43 46
13 16 38 39 42 43 46 49
13 16 17 38 39 42 43 46
13 16 38 39 42 43 46 61
1 13 16 38 39 42 43 46
13 16 38 39 42 43 46 73
13 15 38 39 42 43 46 62
13 38 39 42 43 46 62 63
1 13 38 39 42 43 46 62
13 38 39 42 43 46 62 73
1 13 38 39 42 43 46 74
13 38 39 42 43 46 74 75
1 3 38 39 42 43 46 48
